TypeEx,Name,Description,URL,Rating,Category,Keywords,Comments,Uid
Map,"landmarks, manhattan, individual (Cultural-Affairs/landmarks-manhattan-individual/crwx-795d)","Landmarks Preservation Commission point shapefile. A point shapefile of NYC Landmarks Preservation Commission individual, interior and scenic landmarks as well as points of all buildings within historic districts; for use in Geographic Information Systems (GIS).",https://data.cityofnewyork.us/Cultural-Affairs/landmarks-manhattan-individual/crwx-795d,0,Cultural Affairs,"geographic, location, map, cartography, historic, landmark, preservation, preserve, conservation, conserve, interior, scenic, building, district",0,crwx-795d
Map,Subway Entrances Filter (Transportation/Subway-Entrances-Filter/z3a5-6cx8),Map of NYC Subway Entrances,https://data.cityofnewyork.us/Transportation/Subway-Entrances-Filter/z3a5-6cx8,0,Transportation,"location, map, cartography, basemap, transit, transportation, train, subway, travel, entrance, station",0,z3a5-6cx8
Tabular,CCRB: Attribution of Complaints to Other Patrol Services Bureau Commands 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Other-Patrol-Ser/wudr-qbgm),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Other-Patrol-Ser/wudr-qbgm,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,wudr-qbgm
Map,Map of Soccer and Football Fields (Facilities-and-Structures/Map-of-Soccer-and-Football-Fields/qqsi-vm9f),GIS Map of Soccer and Football Fields in New York City Department of Parks & Recreation properties.,https://data.cityofnewyork.us/Facilities-and-Structures/Map-of-Soccer-and-Football-Fields/qqsi-vm9f,0,Facilities and Structures,"park, parks, nature, recreation, location, map, cartography, soccer, football, field, sports, game, geographic",0,qqsi-vm9f
Tabular,CCRB: Attribution of Complaints to Patrol Borough Bronx 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-B/m7m9-uyrn),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-B/m7m9-uyrn,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,m7m9-uyrn
Tabular,CCRB: Attribution of Complaints to Patrol Borough Brooklyn North 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-B/zwt9-6u9n),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-B/zwt9-6u9n,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,zwt9-6u9n
Tabular,CCRB: Attribution of Complaints to Patrol Borough Brooklyn South 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-B/c5mf-k73g),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009..
Update Frequency: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-B/c5mf-k73g,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,c5mf-k73g
Map,City Day Care Center Locations (Community-Service/City-Day-Care-Center-Locations/rwnw-ne5z),Location of day care centers in the city with basic descriptive information.,https://data.cityofnewyork.us/Community-Service/City-Day-Care-Center-Locations/rwnw-ne5z,0,Community Service,"doitt gis, geographic, location, map, cartography, services, day care, day, care, center, site",0,rwnw-ne5z
Filter,Graffiti (Other/Graffiti/tic6-5xzi),"Addresses, current status, and coordinates of requests to clean graffiti (other than bridges or highways) received from the public and SCOUT in the last 12 months.",https://data.cityofnewyork.us/Other/Graffiti/tic6-5xzi,0,Other,"sanitation, scout, graffiti, complaint, request, public",0,tic6-5xzi
Map,NYC Parking Facilities Map (Transportation/NYC-Parking-Facilities-Map/vcc8-bbkp),A list of all parking facilities in New York City,https://data.cityofnewyork.us/Transportation/NYC-Parking-Facilities-Map/vcc8-bbkp,0,Transportation,"parking facilities, car, automobile",0,vcc8-bbkp
Tabular,CCRB: Attribution of Complaints to Patrol Borough Manhattan North 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-M/xpcf-tg2m),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-M/xpcf-tg2m,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,xpcf-tg2m
Map,Landmarks with name view (Cultural-Affairs/Landmarks-with-name-view/999j-irzy),"Landmarks Preservation Commission point shapefile. A point shapefile of NYC Landmarks Preservation Commission individual, interior and scenic landmarks as well as points of all buildings within historic districts; for use in Geographic Information Systems (GIS).",https://data.cityofnewyork.us/Cultural-Affairs/Landmarks-with-name-view/999j-irzy,0,Cultural Affairs,"geographic, location, map, cartography, historic, landmark, preservation, preserve, conservation, conserve, interior, scenic, building, district",0,999j-irzy
Blob,School Point Locations (Education/School-Point-Locations/jfju-ynrr),"This is an ESRI shape file of school point locations based on the official address.  It includes some additional basic and pertinent information needed to link to other data sources. It also includes some basic school information such as Name, Address, Principal, and Principalâ€™s contact information.",https://data.cityofnewyork.us/Education/School-Point-Locations/jfju-ynrr,0,Education,"department of education, education, board of ed, school, schools, p.s., jhs, is, high school, junior high school, elementary, learning",0,jfju-ynrr
Filter,AIsaac Complaints (Social-Services/AIsaac-Complaints/fyn9-cqcb),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/AIsaac-Complaints/fyn9-cqcb,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,fyn9-cqcb
Tabular,CCRB: Attribution of Complaints to Patrol Borough Manhattan South 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-M/4px5-vncp),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-M/4px5-vncp,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,4px5-vncp
Map,DATA MAP NOISE 1 (Other/DATA-MAP-NOISE-1/w2aq-vyrm),NYC Noise complaints for 2012,https://data.cityofnewyork.us/Other/DATA-MAP-NOISE-1/w2aq-vyrm,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,w2aq-vyrm
Tabular,CCRB: Attribution of Complaints to Patrol Borough Queens North 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-Q/64px-8x4k),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009/
Update Frequency: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-Q/64px-8x4k,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,64px-8x4k
Filter,Manhattan Noise Complaints 2010 Test (Other/Manhattan-Noise-Complaints-2010-Test/w9k6-n9e8),Test data from all 311 Service Requests for 2010 in Manhattan to October 2010.,https://data.cityofnewyork.us/Other/Manhattan-Noise-Complaints-2010-Test/w9k6-n9e8,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,w9k6-n9e8
Blob,NYC Truck Routes (Local and Thru maps) (dataset/NYC-Truck-Routes-Local-and-Thru-maps-/gj26-gpjk),"""The New York City Truck Routes represents Local and Through Truck Routes in New York City, created by the New York City Department of Transportation. They feature the City's comprehensive Truck Route Network overlaid on top of the entire arterial street network making it easier for drivers to locate specific streets and intersections, thus providing the best way for trucks to travel around the City.
These maps also contain helpful information for drivers, on truck route signage, weight limits and dimensions, overweight/over dimensional permitting and truck related violations as well as City, regional and state truck-related resources.""",https://data.cityofnewyork.us/dataset/NYC-Truck-Routes-Local-and-Thru-maps-/gj26-gpjk,0,,"truck, transport, transit, route, local, through, delivery, deliver, transportation, network, map, cartography, intersection, street, travel, driver, signage, weight, limit, dimension, overweight, over dimension, violation, resource",0,gj26-gpjk
Tabular,CCRB: Attribution of Complaints to Patrol Borough Queens South 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-Q/8wpj-vk59),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-Q/8wpj-vk59,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,8wpj-vk59
Filter,Electric Consumption by ZIP Code - 2010 (Environmental-Sustainability/Electric-Consumption-by-ZIP-Code-2010/w6wk-iue5),"2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company.",https://data.cityofnewyork.us/Environmental-Sustainability/Electric-Consumption-by-ZIP-Code-2010/w6wk-iue5,0,Environmental Sustainability,"electricity, energy, environment, planning, power, utilities",0,w6wk-iue5
Map,Railroad Features (Transportation/Railroad-Features/j2bb-ejds),Planimetric basemap line layer containing the railroad features. (rail and subway lines),https://data.cityofnewyork.us/Transportation/Railroad-Features/j2bb-ejds,0,Transportation,"geographic, location, map, cartography, transportation, rail, railroad, train, subway, line",0,j2bb-ejds
Map,Commercial (Environmental-Sustainability/Commercial/en6g-gjrd),"2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company.",https://data.cityofnewyork.us/Environmental-Sustainability/Commercial/en6g-gjrd,0,Environmental Sustainability,"electricity, energy, environment, planning, power, utilities",0,en6g-gjrd
Map,arcGIS (Facilities-and-Structures/arcGIS/pq44-rrf3),New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.,https://data.cityofnewyork.us/Facilities-and-Structures/arcGIS/pq44-rrf3,0,Facilities and Structures,"school, construction, authority, sca, capital, improvement, project, current, education",0,pq44-rrf3
Map,Map of Basketball Courts (Facilities-and-Structures/Map-of-Basketball-Courts/u9za-vtg3),GIS Map of Basketball Courts in New York City Department of Parks & Recreation properties.,https://data.cityofnewyork.us/Facilities-and-Structures/Map-of-Basketball-Courts/u9za-vtg3,0,Facilities and Structures,"park, parks, nature, recreation, location, map, cartography, basketball, court, sports, ball, game, geographic",0,u9za-vtg3
Map,56 (Facilities-and-Structures/56/y236-xzh8),"Polygon representing the perimeter outline of the buildings.
Update Frequency: As Needed",https://data.cityofnewyork.us/Facilities-and-Structures/56/y236-xzh8,0,Facilities and Structures,"geographic, location, map, cartography, property, building, perimeter",0,y236-xzh8
Tabular,CCRB: Attribution of Complaints to Patrol Borough Staten Island 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-S/d8cz-kh5x),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-S/d8cz-kh5x,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,d8cz-kh5x
Blob,NYC Urban Tree Canopy Assessment Metrics 2010 (Environmental-Sustainability/NYC-Urban-Tree-Canopy-Assessment-Metrics-2010/hnxz-kkn5),"Tree Canopy (TC) Assessment metrics for New York City.  This dataset consists of TC metrics summarized to several different sets of geographic base layers. The metrics presented in this table are based on 2010 high resolution land cover dataset.
The TC Assessment is a top-down approach to analyzing the forest.  Its purpose is to integrate high resolution land cover data with other GIS datasets to produce a set of detailed metrics on the forest that allow decision makers to know how much tree canopy currently exists (termed Existing TC) and amount of land where is it biophysically feasible to establish tree canopy on (termed Possible TC). 
Existing TC is determined by extracting all features classified as tree canopy from a high resolution land cover dataset.  Possible TC is determined by identifying land where canopy could possibly exist.  Possible TC in a GIS context is determined by overlaying high resolution land cover with cadastral and planimetric datasets to include building polygons and road polygons.  
Possible TC is queried out from this overlay and consists of all land that was not existing canopy, not water, not a building, and not a road.  Possible TC is further divided into two subcategories:  Possible-impervious and Possible-vegetation.  Possible-impervious consists of all impervious land that, through modification, could support tree canopy.  Examples of such features are parking lots, driveways (through overhanging coverage) and playgrounds.  Possible-vegetation consists of all land that is low-lying vegetation, primarily grass or shrubs, which could conceivably be converted to support tree canopy.  Examples of such features include residential lawns and playing fields.  TC metrics do not serve to address the issues of where it is socially desirable or financially feasible to plant trees.  Rather, the TC metrics serve as the basis for beginning to form answers to these questions.   
TC metrics are presented in the attribute table as both absolute area (in map units) and relative area (percentage of land area) per parcel.  For example, an Existing TC Area (TC_E_A) value of 13,677 and an Existing TC Percentage (TC_E_P) of 21.8 indicate that for the parcel in question the area of Existing TC is 13,677 (in map units) and 21.8% of that feature is tree canopy.   This assessment was completed by the University of Vermont's Spatial Analysis Laboratory with funding from National Urban and Community Forestry Advisory Council (NUCFAC) and the National Science Fundation (NSF) and in cooperation with the USDA Forest Service's Northern Research Station.
The TC Assessment protocols were developed by the USDA Forest Service's Northern Research Station and the University of Vermont's Spatial Analysis Laboratory in collaboration with the Maryland Department of Natural Resources.  TC assessments have been conducted for numerous communities throughout the U.S. where the results have been instrumental in helping to establishing TC goals.",https://data.cityofnewyork.us/Environmental-Sustainability/NYC-Urban-Tree-Canopy-Assessment-Metrics-2010/hnxz-kkn5,0,Environmental Sustainability,"landcover, tree, canopy, grass, water, buildings, roads, paved",0,hnxz-kkn5
Tabular,CCRB: Attribution of Complaints to Patrol Boroughs and Other Commands 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Boroughs-/egiq-kmr5),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Boroughs-/egiq-kmr5,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,egiq-kmr5
Tabular,CCRB: Attribution of Complaints to Special Operations Division 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Special-Operatio/rfu3-4gsz),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Special-Operatio/rfu3-4gsz,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,rfu3-4gsz
Tabular,CCRB: Attribution of Complaints to the Detective Bureau 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-the-Detective-Bu/fgb7-3q7d),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-the-Detective-Bu/fgb7-3q7d,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,fgb7-3q7d
Tabular,CCRB: Attribution of Complaints to the Housing Bureau 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-the-Housing-Bure/cqhy-d5cj),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-the-Housing-Bure/cqhy-d5cj,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,cqhy-d5cj
Tabular,CCRB: Attribution of Complaints to the Organized Crime Control Bureau 2005 â€“ 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-the-Organized-Cr/v3a6-muuw),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-the-Organized-Cr/v3a6-muuw,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,v3a6-muuw
Filter,electronic store competitors (Business-and-Economic/electronic-store-competitors/r9jk-nd53),A list of electronics stores that have a current DCA license as of the run date.,https://data.cityofnewyork.us/Business-and-Economic/electronic-store-competitors/r9jk-nd53,0,Business and Economic,"retail, sale, sell, license, store, electronics, consumer affairs, dca",0,r9jk-nd53
Map,Theaters (Other/Theaters/kdu2-865w),Listing of NYC theaters,https://data.cityofnewyork.us/Other/Theaters/kdu2-865w,0,Other,"theater, entertainment, screen, show, play, cinema, movie, doitt gis",0,kdu2-865w
Tabular,CCRB: Attribution of Complaints to Traffic Control Division 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Traffic-Control-/35fd-ehz6),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Traffic-Control-/35fd-ehz6,0,Public Safety,"complaint activity, statistics",0,35fd-ehz6
Map,Zoning GIS Data: ESRI Geo-database (Government/Zoning-GIS-Data-ESRI-Geo-database/gq8z-zwkq),"GIS data: This data set consists of 6 classes of zoning features: zoning districts, special purpose districts, special purpose district subdistricts, limited height districts, commercial overlay districts,  and zoning map amendments.",https://data.cityofnewyork.us/Government/Zoning-GIS-Data-ESRI-Geo-database/gq8z-zwkq,0,Government,"zoning, geographic, location, map, cartography, zone, district, commercial, dcp",0,gq8z-zwkq
Map,Google map view of 311 reports (Other/Google-map-view-of-311-reports/dtiu-hq3j),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/Google-map-view-of-311-reports/dtiu-hq3j,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,dtiu-hq3j
Map,NYC Parks (Facilities-and-Structures/NYC-Parks/w29d-wry7),GIS Map of New York City Department of Parks & Recreation parks.,https://data.cityofnewyork.us/Facilities-and-Structures/NYC-Parks/w29d-wry7,0,Facilities and Structures,"park, parks, nature, recreation, location, map, cartography, geographic",0,w29d-wry7
Map,Map of Playgrounds (Facilities-and-Structures/Map-of-Playgrounds/dqv3-x5im),GIS Map of Playgrounds in New York City Department of Parks & Recreation properties.,https://data.cityofnewyork.us/Facilities-and-Structures/Map-of-Playgrounds/dqv3-x5im,0,Facilities and Structures,"park, parks, nature, recreation, location, map, cartography, field, play, playground, game, children, child, geographic",0,dqv3-x5im
Map,Electricity_Heatmap (Environmental-Sustainability/Electricity_Heatmap/d993-iye3),"2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company.",https://data.cityofnewyork.us/Environmental-Sustainability/Electricity_Heatmap/d993-iye3,0,Environmental Sustainability,"electricity, energy, environment, planning, power, utilities",0,d993-iye3
Tabular,CCRB: Attribution of Complaints to Transit Bureau 2005 - 2009 (Public-Safety/CCRB-Attribution-of-Complaints-to-Transit-Bureau-2/72n5-tp5u),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Attribution-of-Complaints-to-Transit-Bureau-2/72n5-tp5u,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,72n5-tp5u
Map,FRESH (Business-and-Economic/FRESH/w9uz-8epq),"GIS data: FRESH boundaries where zoning and discretionary tax incentives are available for the development, expansion and renovation of full line grocery stores and supermarkets.",https://data.cityofnewyork.us/Business-and-Economic/FRESH/w9uz-8epq,0,Business and Economic,"dcp, geographic, location, map, cartography, zone, zoning, boundary, incentive, development, grocery, supermarket, promote, promotion",0,w9uz-8epq
Tabular,CCRB: Average Days for the CCRB to Close Substantiated Cases Measured from Date of Incident 2005 â€“ 2009 (Public-Safety/CCRB-Average-Days-for-the-CCRB-to-Close-Substantia/7ub6-8ecn),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009",https://data.cityofnewyork.us/Public-Safety/CCRB-Average-Days-for-the-CCRB-to-Close-Substantia/7ub6-8ecn,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,7ub6-8ecn
Map,01 (Facilities-and-Structures/01/hxti-7qkk),GIS Map of New York City Department of Parks & Recreation parks.,https://data.cityofnewyork.us/Facilities-and-Structures/01/hxti-7qkk,0,Facilities and Structures,"park, parks, nature, recreation, location, map, cartography, geographic",0,hxti-7qkk
Map,Historic district maps (Cultural-Affairs/Historic-district-maps/d4dh-78mx),Landmarks Preservation Commission historic districts. A polygon shapefile of NYC Landmarks Preservation Commission historic districts for use in Geographic Information Systems (GIS).,https://data.cityofnewyork.us/Cultural-Affairs/Historic-district-maps/d4dh-78mx,0,Cultural Affairs,"geographic, location, map, cartography, historic, district, history, landmark, preservation, preserve",0,d4dh-78mx
Blob,Times Square pedestrian counts (Statistics/Times-Square-pedestrian-counts/dv6z-emb2),Statistics on the pedestrian count at various Times Square locations,https://data.cityofnewyork.us/Statistics/Times-Square-pedestrian-counts/dv6z-emb2,0,Statistics,"times square alliance, times square, crossroads, crossroads of the world, nyc, new york city, new york, manhattan, theater, food, screens, pedestrian, entertainment, tourism",0,dv6z-emb2
Map,BRONX Wi Fi Hotspot Locations (Media/BRONX-Wi-Fi-Hotspot-Locations/42kb-k6cj),Location of wifi hotspots in the city with basic descriptive information.,https://data.cityofnewyork.us/Media/BRONX-Wi-Fi-Hotspot-Locations/42kb-k6cj,0,Media,"doitt gis, geographic, location, map, cartography, services, wifi, wireless, hot spot, access, telecommunication",0,42kb-k6cj
Tabular,CCRB: Average Days for the CCRB to Close Substantiated Cases Measured from Date of Report 2005 - 2009 (Public-Safety/CCRB-Average-Days-for-the-CCRB-to-Close-Substantia/bws2-q2sb),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Average-Days-for-the-CCRB-to-Close-Substantia/bws2-q2sb,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,bws2-q2sb
Map,Laundromats Map (Business-and-Economic/Laundromats-Map/t6wx-qufc),A list of laundry facilities that have a current DCA license as of the run date.,https://data.cityofnewyork.us/Business-and-Economic/Laundromats-Map/t6wx-qufc,0,Business and Economic,"laundry, license, laundromat, clothing, washing, cleaning, clothes, consumer affairs, dca",0,t6wx-qufc
Map,DYCD Beacon (Community-Service/DYCD-Beacon/n3et-mfjw),DYCD Beacon,https://data.cityofnewyork.us/Community-Service/DYCD-Beacon/n3et-mfjw,0,Community Service,"geographic, location, map, cartography, basemap, beacon, youth",0,n3et-mfjw
Tabular,CCRB: Average Days for the Police Department to Close Substantiated CCRB Cases  2005 - 2009 (Public-Safety/CCRB-Average-Days-for-the-Police-Department-to-Clo/niyd-ckq3),"Civilian Complaint Review Board (CCRB)complaint activity data, 2005-2009.  The time it takes the NYPD to resolve substantiated cases is measured from the date that the CCRB physically transferred the case file to the department until the last day of the month in which the department closed the case. The department does not inform the CCRB of its actual disposition date â€”just the month in which it closed the case. In addition, when the Department Advocate's Office refers a case to a commanding officer for the imposition of a command discipline, the NYPD considers the case closed and reports that closure to the CCRB. It is subsequent to this closure date that the commanding officer decides upon a penalty consistent with the level of command discipline proscribed by the Department Advocate's Office. For cases that proceeded to administrative hearings, the time it takes for judges to render written decisions is included in calculating the department's closure time.
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Average-Days-for-the-Police-Department-to-Clo/niyd-ckq3,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics",0,niyd-ckq3
Tabular,CCRB: Command Rankings: Complaints per Uniformed Officer 2009 (Public-Safety/CCRB-Command-Rankings-Complaints-per-Uniformed-Off/83kr-sbhe),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Command-Rankings-Complaints-per-Uniformed-Off/83kr-sbhe,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics, command, ranking, command ranking",0,83kr-sbhe
Map,Bronx Zip Code Boundaries (Social-Services/Bronx-Zip-Code-Boundaries/p8wz-d63u),Polygon representing the boundary of the zip codes in the city.,https://data.cityofnewyork.us/Social-Services/Bronx-Zip-Code-Boundaries/p8wz-d63u,0,Social Services,"doitt gis, geographic, location, map, cartography, zip, code, zip code, boundary",0,p8wz-d63u
Tabular,CCRB: Determinations to Recommend Other Misconduct  2005 - 2009 (Public-Safety/CCRB-Determinations-to-Recommend-Other-Misconduct-/v3f6-2e7z),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009. When a determination to recommend other misconduct occurs in a case in which an allegation of force, abuse of authority, discourtesy, or offensive language (FADO) was substantiated, it is categorized as ""with subbed FADO allegation."" When such an allegation is not substantiated, the determination to recommend other misconduct is categorized as ""without subbed FADO allegation.""
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Determinations-to-Recommend-Other-Misconduct-/v3f6-2e7z,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics, disciplinary recommendation, allegation, misconduct",0,v3f6-2e7z
Tabular,CCRB: Disciplinary Recommendations for Officers against Whom the CCRB Substantiated Allegations 2005 - 2009 (Public-Safety/CCRB-Disciplinary-Recommendations-for-Officers-aga/jabk-zf7i),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009
Update Schedule: Annually",https://data.cityofnewyork.us/Public-Safety/CCRB-Disciplinary-Recommendations-for-Officers-aga/jabk-zf7i,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics, disciplinary recommendation, allegation",0,jabk-zf7i
Map,Google Map of 311 Placard Complaints - 2010-Present (Other/Google-Map-of-311-Placard-Complaints-2010-Present/pd4k-vjt9),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/Google-Map-of-311-Placard-Complaints-2010-Present/pd4k-vjt9,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,pd4k-vjt9
Map,Women's Resource Map (Women-s-Issues/Women-s-Resource-Map/69bm-3bc2),"The NYC Women's Resource Network is a free, user-friendly database of over 1,000 nonprofit organizations and governmental agencies that work to advance and benefit women and families in New York City.  A user can tailor their search by keyword, category, and/or borough to receive a customized listing of organizations that address their needs.",https://data.cityofnewyork.us/Women-s-Issues/Women-s-Resource-Map/69bm-3bc2,0,Womenâ€™s Issues,"women, woman, family, families, resource, network",0,69bm-3bc2
